Downloaded from wid.world on 09-12-2025 at 10:43:00
Percentile ;Year ;"anweal_992_i_CN
Market-value national wealth
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
China";"anweal_992_i_US
Market-value national wealth
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
USA";"anweal_992_i_IN
Market-value national wealth
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
India";"anweal_992_i_ZA
Market-value national wealth
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
South Africa";"anweal_992_i_NL
Market-value national wealth
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Netherlands";"wnweal_999_i_CN
Market-value national wealth
Total population | ratio | all ages | individual
China";"wnweal_999_i_US
Market-value national wealth
Total population | ratio | all ages | individual
USA";"wnweal_999_i_IN
Market-value national wealth
Total population | ratio | all ages | individual
India";"wnweal_999_i_ZA
Market-value national wealth
Total population | ratio | all ages | individual
South Africa";"wnweal_999_i_NL
Market-value national wealth
Total population | ratio | all ages | individual
Netherlands";"anninc_992_i_CN
National income
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
China";"anninc_992_i_US
National income
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
USA";"anninc_992_i_IN
National income
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
India";"anninc_992_i_ZA
National income
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
South Africa";"anninc_992_i_NL
National income
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Netherlands"
pall;1952;4163.5876;55263.1823;4889.4016;21869.1892;37906.2593;2.6461;2.6974;3.2903;2.2089;2.871;1572.0202;20559.6997;1483.2738;10004.1842;13351.5249
pall;1953;4804.5309;55193.9534;6032.4053;23155.9667;42828.6553;2.7358;2.5991;3.4125;2.2547;3.0344;1743.6051;21209.622;1780.3551;10298.1514;14288.5997
pall;1954;4403.6798;56505.1547;4691.9911;24685.8385;47450.579;2.7604;2.716;3.4216;2.3104;3.1201;1588.4896;21009.1437;1373.9608;10706.5552;15233.8025
pall;1955;4856.9718;59657.9272;5871.3892;26034.5854;52591.5558;2.8368;2.69;3.4945;2.3603;3.192;1713.2961;22213.3054;1675.9607;11082.5953;16475.0203
pall;1956;5340.6113;61611.3662;7147.9385;27583.562;55880.4945;2.9081;2.757;3.6244;2.4076;3.2801;1840.2908;22380.5293;1981.2897;11461.9249;16968.9904
pall;1957;5536.7659;62203.0763;6389.2943;28694.9874;56831.3781;2.9611;2.7615;3.6541;2.4585;3.3037;1885.7448;22519.3952;1741.8867;11638.2301;17067.662
pall;1958;5628.3265;63865.3187;6843.7474;29058.1168;56737.8629;3.0106;2.8983;3.7381;2.4928;3.3446;1875.8209;22284.0984;1832.6466;11662.3104;17000.9778
pall;1959;5465.9936;66903.707;6602.1663;30337.0234;61288.3829;3.0468;2.8455;3.7842;2.5402;3.4176;1793.8579;23667.3849;1743.4797;11946.07;18100.437
pall;1960;5034.2193;78434.6759;7032.647;31756.142;72315.4868;2.9706;3.2843;3.8562;2.6146;3.4665;1631.3139;24005.097;1826.6714;12135.8723;20800.1425
pall;1961;3463.2356;90929.6134;7231.3936;33032.2722;72541.4964;3.1342;3.7666;3.8946;2.6879;3.5058;1116.0601;24382.9999;1852.6952;12317.6386;20679.7088
pall;1962;3736.5545;93970.5859;7406.7074;35550.4095;76870.2893;3.1761;3.7085;3.9605;2.7977;3.5572;1190.537;25535.3419;1869.3953;12736.0025;21603.3245
pall;1963;4334.3471;95400.9318;7857.7146;38914.1079;77713.4119;3.216;3.6585;4.038;2.9329;3.5137;1357.5151;26342.1513;1948.5917;13276.2893;22329.2472
pall;1964;5010.5901;98631.7738;8459.0;41844.2593;81510.5664;3.2593;3.621;4.113;3.0107;3.4324;1540.9242;27555.2217;2058.6232;13879.2693;23796.7369
pall;1965;5561.4508;103372.3233;8172.2079;43631.5928;84891.3598;3.3119;3.6093;4.1514;3.0563;3.3472;1681.4322;28960.2697;1962.4309;14210.2458;25333.2704
pall;1966;5919.4008;104628.0327;8006.8062;44710.1963;84140.5288;3.3126;3.4811;4.1544;3.1081;3.3104;1763.2993;30265.4186;1923.7967;14417.4302;25453.0048
pall;1967;5394.5687;106753.524;8565.8163;47494.6286;85578.6529;3.3782;3.5413;4.2028;3.177;3.2637;1580.2549;30455.6962;2040.7105;14949.003;26315.8793
pall;1968;5174.593;112237.2304;8817.5827;49020.0013;88950.9687;3.4765;3.6182;4.248600000000001;3.2494;3.2465;1498.5798;31262.9817;2074.2115;15142.6995;27490.8498
pall;1969;5809.3938;111866.1279;9366.6059;50782.2283;93176.5452;3.51;3.5665;4.3132;3.2957;3.2281;1665.5387;31489.0298;2166.5449;15342.1871;28747.7117
pall;1970;6440.4324;107121.2262;10084.7011;48733.502;116501.9479;3.4921;3.5058;4.4955;2.9767;3.8565;1840.7131;30759.9499;2214.1713;15522.808;30917.352
pall;1971;6577.4469;108342.9331;10137.2331;50432.3577;119779.0005;3.5207;3.5006;4.5842;3.0569;3.8769;1865.1484;31276.7186;2196.0765;15677.0029;31481.24
pall;1972;6673.7295;114736.3403;10033.6742;49790.8474;121372.692;3.5612;3.5813;4.6523;3.0742;3.8935;1877.8364;32314.4725;2144.2011;15539.4388;31981.7649
pall;1973;6879.5008;117270.1327;10200.7696;52025.7749;128583.5887;3.5707;3.5303;4.734900000000001;3.1414;3.9355;1923.7127;33211.0484;2146.4475;15799.3838;33342.1053
pall;1974;6838.1738;110431.7698;10180.2497;53031.7342;132629.214;3.6046;3.4442;4.766500000000001;3.1043;3.9595;1904.268;32112.5662;2116.295;15944.2691;33951.3525
pall;1975;7026.6504;106770.3212;10668.0445;51731.6794;130659.0145;3.5872;3.437;4.8205;3.1238;3.9848;1938.6848;31430.1376;2191.0863;15434.8616;33193.6171
pall;1976;6522.4146;110600.0818;10902.7921;49668.8971;135972.776;3.6729;3.4386;4.9292;3.0703;4.0099;1782.7247;32484.6886;2207.4288;15203.1753;34394.9817
pall;1977;6927.6421;112751.619;11496.3143;48335.4066;136818.4332;3.7303;3.4181;5.0479;3.1051;4.0213;1867.7206;33340.6656;2284.2552;14636.1876;34548.8885
pall;1978;7486.5071;115118.7995;12048.7087;49648.9676;137780.7659;3.7295;3.3726;5.1063;3.2113;4.0217;2008.7469;34335.7804;2354.6349;14632.7698;34399.5263
pall;1979;8515.1144;120044.5942;11454.8582;52624.659;138702.8958;4.073;3.4925;5.139;3.3795;4.0495;2091.9;34504.2964;2215.023;15011.9528;34586.2946
pall;1980;8017.0018;126825.833;11662.6815;58242.4539;140302.0059;3.7575;3.8046;5.2213;3.5693;4.0482;2134.5707;33731.4894;2247.2301;15330.4218;35018.2999
pall;1981;8382.15;127568.6498;11923.5798;61447.7058;131688.2062;3.7959;3.8088;5.152200000000001;3.7516;3.9138;2209.4508;33762.0916;2314.1671;15300.7337;34303.9136
pall;1982;9537.464;127314.6518;12102.099;60170.8701;125688.55;4.0846;3.9733;5.1786;3.9052;3.8496;2335.6201;32651.5725;2329.2483;14519.3411;33376.7146
pall;1983;10289.1629;127996.7403;12463.5848;55340.3138;125959.9189;4.2634;3.867;5.1623;3.8482;3.8285;2426.0481;33814.3193;2417.9504;13770.4496;33694.3168
pall;1984;10177.4283;129681.4243;12650.5175;54544.2512;127141.0947;3.9244;3.6778;5.1248;3.7441;3.797;2609.8987;35643.9896;2452.4007;13724.6163;34247.7171
pall;1985;10103.1049;134830.7508;12739.6943;51961.4232;130363.2618;3.6801;3.7236;5.0667;3.8;3.8538;2756.3956;36336.1428;2491.4608;12750.8374;34210.5732
pall;1986;10658.0926;143072.6656;12790.3668;51445.2626;134078.1753;3.7785;3.8819;5.0034;3.9646;3.9144;2823.3673;37069.9831;2543.2094;12322.4675;34192.1323
pall;1987;10909.4331;147916.3104;13135.5881;51831.2812;135967.9692;3.6953;3.9228;5.0635;4.0339;3.9781;2944.2004;37981.656;2575.5498;12378.9115;34680.9459
pall;1988;10860.6007;151379.661;13963.5913;50258.6549;137256.9933;3.6272;3.8877;5.1124;3.8662;3.9461;2987.1014;39118.4929;2719.0824;12414.6289;35200.1738
pall;1989;11251.0289;156260.6405;14530.4492;49360.8647;140920.692;3.8462;3.915;5.1059;3.8624;3.9336;2921.5502;40111.1596;2822.2999;12298.8453;36381.874
pall;1990;11417.5271;155273.9582;15247.0489;47924.1623;145518.7562;4.0123;3.871;5.2107;3.8832;3.9562;2846.1135;40301.9132;2897.0555;11877.9065;36637.0744
pall;1991;11573.4488;154609.6189;14061.1392;44884.7605;144481.6114;3.9226;3.9042;4.8987;3.7836;3.8742;2939.9391;39777.7999;2850.905;11945.3736;37287.2236
pall;1992;12430.7591;155042.9458;13213.0647;44101.5628;151757.7065;3.971;3.8064;4.5529;3.7229;4.0955;3119.1444;40745.2367;2902.7251;11963.8279;37066.0208
pall;1993;14103.6303;155197.8608;13314.0813;45794.4351;153499.7987;4.2118;3.746;4.4874;3.7867;4.0906;3336.4904;41525.9323;2976.1672;12146.2997;37753.7509
pall;1994;14601.762;157061.8055;13775.6475;46861.5573;160371.5935;4.1186;3.673;4.4572;3.7929;4.1279;3532.3955;42711.4607;3092.1318;12349.7732;39046.0087
pall;1995;16203.2659;163159.2556;14158.5928;47012.8017;174809.5554;4.198300000000001;3.751;4.3678;3.6881;4.3422;3840.3807;43608.2405;3244.3249;12795.8552;40314.3197
pall;1996;16987.4429;174535.8535;14790.2031;47422.8365;184217.3603;4.3319;3.8929;4.3545;3.5719;4.4458;3902.0353;44934.0629;3397.594;13285.1774;41647.4795
pall;1997;19540.9273;190349.2233;15288.362;46850.9741;194154.6186;4.7347;4.1043;4.3945;3.4709;4.5347;4091.6828;46425.9531;3470.5518;13449.9006;42939.213
pall;1998;21536.967;211781.5611;15474.0788;45861.4441;203832.3067;5.343;4.4126;4.326000000000001;3.462;4.626300000000001;3995.7266;47929.5402;3588.3531;13207.6951;44036.662
pall;1999;24932.2328;233119.2362;16091.0013;47098.3932;219910.805;5.946400000000001;4.688400000000001;4.2496;3.5641;4.707800000000001;4156.1207;49659.7874;3780.7116;13269.9027;46634.6369
