,country,variable,percentile,year,value,age,pop,p_start,p_end
82,IN,sptincj999,p4p100,2024,0.9954,999,j,0.0,0.01
165,IN,sptincj999,p0p1,2024,0.0008,999,j,0.0,0.01
248,IN,sptincj999,p0p10,2024,0.0164,999,j,0.0,0.01
331,IN,sptincj999,p0p100,2024,1.0,999,j,0.0,0.01
414,IN,sptincj999,p0p11,2024,0.0187,999,j,0.0,0.01
497,IN,sptincj999,p0p12,2024,0.021,999,j,0.0,0.01
580,IN,sptincj999,p0p13,2024,0.0234,999,j,0.0,0.01
663,IN,sptincj999,p0p14,2024,0.0258,999,j,0.0,0.01
746,IN,sptincj999,p0p15,2024,0.0283,999,j,0.0,0.01
829,IN,sptincj999,p0p16,2024,0.0309,999,j,0.0,0.01
912,IN,sptincj999,p0p17,2024,0.0335,999,j,0.0,0.01
995,IN,sptincj999,p0p18,2024,0.0362,999,j,0.0,0.01
1078,IN,sptincj999,p0p19,2024,0.039,999,j,0.0070999999999999995,0.01
1161,IN,sptincj999,p0p2,2024,0.0018,999,j,0.009998,0.01
1244,IN,sptincj999,p0p20,2024,0.0418,999,j,0.0060999999999999995,0.01
1327,IN,sptincj999,p0p21,2024,0.0446,999,j,0.0,0.01
1410,IN,sptincj999,p0p22,2024,0.0475,999,j,0.0,0.01
1493,IN,sptincj999,p0p23,2024,0.0505,999,j,0.0046,0.01
1576,IN,sptincj999,p0p24,2024,0.0535,999,j,0.0,0.01
1659,IN,sptincj999,p0p25,2024,0.0566,999,j,0.0,0.01
1742,IN,sptincj999,p0p26,2024,0.0597,999,j,0.00991,0.01
1825,IN,sptincj999,p0p27,2024,0.0629,999,j,0.0,0.01
1908,IN,sptincj999,p0p28,2024,0.0661,999,j,0.0,0.01
1991,IN,sptincj999,p0p29,2024,0.0693,999,j,0.0003,0.01
2074,IN,sptincj999,p0p3,2024,0.0031,999,j,0.0,0.0001
2157,IN,sptincj999,p0p30,2024,0.0726,999,j,0.0,0.001
2240,IN,sptincj999,p0p31,2024,0.0759,999,j,0.0,0.01
2323,IN,sptincj999,p0p32,2024,0.0793,999,j,0.0,0.005
2406,IN,sptincj999,p0p33,2024,0.0828,999,j,0.001,0.01
2489,IN,sptincj999,p0p34,2024,0.0863,999,j,0.001,0.002
2572,IN,sptincj999,p0p35,2024,0.0899,999,j,0.0011,0.01
2655,IN,sptincj999,p0p36,2024,0.0935,999,j,0.0011,0.0012
2738,IN,sptincj999,p0p37,2024,0.0972,999,j,0.0012,0.01
2821,IN,sptincj999,p0p38,2024,0.1009,999,j,0.0012,0.0013
2904,IN,sptincj999,p0p39,2024,0.1048,999,j,0.0013,0.01
2987,IN,sptincj999,p0p4,2024,0.0046,999,j,0.0013,0.0014000000000000002
3070,IN,sptincj999,p0p40,2024,0.1086,999,j,0.0014000000000000002,0.0015
3153,IN,sptincj999,p0p41,2024,0.1125,999,j,0.0015,0.01
3236,IN,sptincj999,p0p42,2024,0.1164,999,j,0.0015,0.0016
3319,IN,sptincj999,p0p43,2024,0.1204,999,j,0.0016,0.01
3402,IN,sptincj999,p0p44,2024,0.1244,999,j,0.0016,0.0017000000000000001
3485,IN,sptincj999,p0p45,2024,0.1286,999,j,0.0017000000000000001,0.01
3568,IN,sptincj999,p0p46,2024,0.1328,999,j,0.0018,0.01
3651,IN,sptincj999,p0p47,2024,0.137,999,j,0.0018,0.0019
3734,IN,sptincj999,p0p48,2024,0.1414,999,j,0.0019,0.01
3817,IN,sptincj999,p0p49,2024,0.1457,999,j,0.0019,0.002
3900,IN,sptincj999,p0p5,2024,0.0064,999,j,0.0001,0.01
3983,IN,sptincj999,p0p50,2024,0.1502,999,j,0.0001,0.0002
4066,IN,sptincj999,p0p51,2024,0.1547,999,j,0.002,0.01
4149,IN,sptincj999,p0p52,2024,0.1593,999,j,0.002,0.003
4232,IN,sptincj999,p0p53,2024,0.164,999,j,0.0021,0.01
4315,IN,sptincj999,p0p54,2024,0.1687,999,j,0.0021,0.0022
4398,IN,sptincj999,p0p55,2024,0.1736,999,j,0.0022,0.01
4481,IN,sptincj999,p0p56,2024,0.1785,999,j,0.0022,0.0023
4564,IN,sptincj999,p0p57,2024,0.1835,999,j,0.0023,0.01
4647,IN,sptincj999,p0p58,2024,0.1886,999,j,0.0024,0.01
4730,IN,sptincj999,p0p59,2024,0.1937,999,j,0.0024,0.0025
4813,IN,sptincj999,p0p6,2024,0.0082,999,j,0.0025,0.01
4896,IN,sptincj999,p0p60,2024,0.199,999,j,0.0025,0.0026
4979,IN,sptincj999,p0p61,2024,0.2042,999,j,0.0026,0.01
5062,IN,sptincj999,p0p62,2024,0.2096,999,j,0.0026,0.0027
5145,IN,sptincj999,p0p63,2024,0.2151,999,j,0.0027,0.01
5228,IN,sptincj999,p0p64,2024,0.2207,999,j,0.0028000000000000004,0.01
5311,IN,sptincj999,p0p65,2024,0.2265,999,j,0.0028000000000000004,0.0029
5394,IN,sptincj999,p0p66,2024,0.2323,999,j,0.0029,0.01
5477,IN,sptincj999,p0p67,2024,0.2382,999,j,0.0029,0.003
5560,IN,sptincj999,p0p68,2024,0.2442,999,j,0.0002,0.01
5643,IN,sptincj999,p0p69,2024,0.2503,999,j,0.0002,0.0003
5726,IN,sptincj999,p0p7,2024,0.0101,999,j,0.003,0.0031
5809,IN,sptincj999,p0p70,2024,0.2566,999,j,0.003,0.004
5892,IN,sptincj999,p0p71,2024,0.2629,999,j,0.0031,0.01
